overall_rank,player_name,position,team,predicted_points,vor
262,Deven Thompkins,WR,TB,14.149311270291152,-7.303438221824769
263,Chatarius Atwell,WR,LA,14.149311270291152,-7.303438221824769
264,Michael Gallup,WR,DAL,14.123344166425248,-7.334598746463854
265,Gunner Olszewski,WR,PIT,14.099035738415347,-7.3637688600757345
266,Ian Thomas,TE,CAR,9.558562483082218,-7.366198914031385
267,Kendall Blanton,TE,KC,9.558562483082218,-7.366198914031385
268,Irv Smith,TE,MIN,9.558562483082218,-7.366198914031385
269,Zach Gentry,TE,PIT,9.558562483082218,-7.366198914031385
270,Josh Oliver,TE,BAL,9.558562483082218,-7.366198914031385
271,Tyler Davis,TE,GB,9.558562483082218,-7.366198914031385
272,Donald Parham,TE,LAC,9.558562483082218,-7.366198914031385
273,Christopher Myarick,TE,NYG,9.558562483082218,-7.366198914031385
274,Joseph Fortson,TE,KC,9.558562483082218,-7.366198914031385
275,Tyler Mabry,TE,SEA,9.558562483082218,-7.366198914031385
276,Trevon Wesco,TE,CHI,9.558562483082218,-7.366198914031385
277,Ben Ellefson,TE,MIN,9.558562483082218,-7.366198914031385
278,Giovanni Ricci,TE,CAR,9.558562483082218,-7.366198914031385
279,Noah Togiai,TE,PHI,9.558562483082218,-7.366198914031385
280,Sean McKeon,TE,DAL,9.558562483082218,-7.366198914031385
281,Mitchell Wilcox,TE,CIN,9.558562483082218,-7.366198914031385
282,Lawrence Cager,TE,NYG,9.558562483082218,-7.366198914031385
283,Devin Asiasi,TE,CIN,9.558562483082218,-7.366198914031385
284,Andrew Beck,TE,DEN,9.558562483082218,-7.366198914031385
285,Josiah Deguara,TE,GB,9.558562483082218,-7.366198914031385
286,Drew Sample,TE,CIN,9.558562483082218,-7.366198914031385
287,Luke Farrell,TE,JAX,9.558562483082218,-7.366198914031385
288,Charlie Kolar,TE,BAL,9.558562483082218,-7.366198914031385
289,Brycen Hopkins,TE,LA,9.558562483082218,-7.366198914031385
290,Jack Stoll,TE,PHI,9.558562483082218,-7.366198914031385
291,Miller Forristall,TE,CLE,9.558562483082218,-7.366198914031385
292,John Bates,TE,WAS,9.558562483082218,-7.366198914031385
293,Jesper Horsted,TE,LV,9.558562483082218,-7.366198914031385
294,Charles Woerner,TE,SF,9.558562483082218,-7.366198914031385
295,Quintin Morris,TE,BUF,9.558562483082218,-7.366198914031385
296,Stephen Sullivan,TE,CAR,9.558562483082218,-7.366198914031385
297,James Mitchell,TE,DET,9.558562483082218,-7.366198914031385
298,Brevin Jordan,TE,HOU,9.558562483082218,-7.366198914031385
299,Feleipe Franks,TE,ATL,9.558562483082218,-7.366198914031385
300,Peyton Hendershot,TE,DAL,9.558562483082218,-7.366198914031385
301,Connor Heyward,TE,PIT,9.558562483082218,-7.366198914031385
302,Tommy Tremble,TE,CAR,9.558562483082218,-7.366198914031385
303,Tre' McKitty,TE,LAC,9.558562483082218,-7.366198914031385
304,Nicolas Turner,TE,WAS,9.558562483082218,-7.366198914031385
305,Grant Calcaterra,TE,PHI,9.558562483082218,-7.366198914031385
306,Jake Tonges,TE,CHI,9.558562483082218,-7.366198914031385
307,Ko Kieft,TE,TB,9.558562483082218,-7.366198914031385
308,Armani Rogers,TE,WAS,9.558562483082218,-7.366198914031385
309,Adam Trautman,TE,NO,9.558562483082218,-7.366198914031385
310,Jeremy Ruckert,TE,NYJ,9.558562483082218,-7.366198914031385
311,Stone Smartt,TE,LAC,9.558562483082218,-7.366198914031385
312,Teagan Quitoriano,TE,HOU,9.558562483082218,-7.366198914031385
313,Albert Okwuegbunam,TE,DEN,9.558562483082218,-7.366198914031385
314,Jake Ferguson,TE,DAL,9.558562483082218,-7.366198914031385
315,Darryl Turner,WR,LV,14.09266703441096,-7.371411304881
316,Bennett Skowronek,WR,LA,14.09266703441096,-7.371411304881
317,Jalen Reagor,WR,MIN,14.09266703441096,-7.371411304881
318,Montrell Washington,WR,DEN,14.09266703441096,-7.371411304881
319,Kahlee Hamler,WR,DEN,14.09266703441096,-7.371411304881
320,Richard Rodgers,TE,LAC,9.539491792572813,-7.3928978807445525
321,Christopher Manhertz,TE,JAX,9.539491792572813,-7.3928978807445525
322,Stephen Anderson,TE,ARI,9.539491792572813,-7.3928978807445525
323,Nicholas Vannett,TE,NYG,9.539491792572813,-7.3928978807445525
324,Tyler Kroft,TE,SF,9.539491792572813,-7.3928978807445525
325,Eric Tomlinson,TE,DEN,9.539491792572813,-7.3928978807445525
326,Christopher Uzomah,TE,NYJ,9.539491792572813,-7.3928978807445525
327,Noah Gray,TE,KC,9.537628498625919,-7.395506492270203
328,Harrison Bryant,TE,CLE,9.537628498625919,-7.395506492270203
329,Kylen Granson,TE,IND,9.537628498625919,-7.395506492270203
330,Daniel Bellinger,TE,NYG,9.537628498625919,-7.395506492270203
331,Trey McBride,TE,ARI,9.537628498625919,-7.395506492270203
332,Trent Sherfield,WR,MIA,14.053900203124943,-7.41793150242422
333,Velus Jones,WR,CHI,14.031803840397378,-7.444447137697297
334,Marcedes Lewis,TE,GB,9.49965403913277,-7.448670735560612
335,Kyle Rudolph,TE,TB,9.49965403913277,-7.448670735560612
336,Taysom Hill,TE,NO,9.49965403913277,-7.448670735560612
337,Cameron Brate,TE,TB,9.49965403913277,-7.448670735560612
338,Blake Bell,TE,KC,9.49965403913277,-7.448670735560612
339,Ryan Griffin,TE,CHI,9.49965403913277,-7.448670735560612
340,Anthony Schwartz,WR,CLE,13.96015123613863,-7.530430262807795
341,Dante Pettis,WR,CHI,13.93845586439083,-7.556464708905155
342,KaVontae Turpin,WR,DAL,13.932087160386443,-7.56410715371042
343,Equanimeous St. Brown,WR,CHI,13.903507000258438,-7.598403345864026
344,Jamal Agnew,WR,JAX,13.876137476263404,-7.631246774658067
345,Isaiah Hodgins,WR,NYG,13.874164462900177,-7.633614390693939
346,Miuchael Woods,WR,CLE,13.861364735480064,-7.648974063598074
347,Wan'Dale Robinson,WR,NYG,13.861364735480064,-7.648974063598074
348,Rondale Moore,WR,ARI,13.861364735480064,-7.648974063598074
349,David Bell,WR,CLE,13.861364735480064,-7.648974063598074
350,Daylen Baldwin,WR,CLE,13.861364735480064,-7.648974063598074
